instance,best-solver(s)
BTBNSL/Rounded_BTWBNSL_insurance_1000_1_3.scores_TWBound_2.wcnf.gz,['Loandra']
BTBNSL/Rounded_BTWBNSL_insurance_1000_1_3.scores_TWBound_3.wcnf.gz,['Loandra']
BTBNSL/Rounded_BTWBNSL_insurance_100_1_3.scores_TWBound_2.wcnf.gz,['Loandra']
BTBNSL/Rounded_BTWBNSL_insurance_100_1_3.scores_TWBound_3.wcnf.gz,['Loandra']
correlation-clustering/Rounded_CorrelationClustering_Ecoli_BINARY_N280_D0.200.wcnf.gz,"['sls-mcs2', 'sls-mcs']"
correlation-clustering/Rounded_CorrelationClustering_Ionosphere_BINARY_N240_D0.200.wcnf.gz,['Loandra']
correlation-clustering/Rounded_CorrelationClustering_Ionosphere_BINARY_N260_D0.200.wcnf.gz,['SATLike']
correlation-clustering/Rounded_CorrelationClustering_Ionosphere_BINARY_N280_D0.200.wcnf.gz,['SATLike']
correlation-clustering/Rounded_CorrelationClustering_Ionosphere_BINARY_N300_D0.200.wcnf.gz,['SATLike']
correlation-clustering/Rounded_CorrelationClustering_Protein1_UNARY_N150.wcnf.gz,['Loandra']
correlation-clustering/Rounded_CorrelationClustering_Protein1_UNARY_N170.wcnf.gz,['Loandra']
correlation-clustering/Rounded_CorrelationClustering_Protein1_UNARY_N290.wcnf.gz,['TT-Open-WBO-Inc']
correlation-clustering/Rounded_CorrelationClustering_Protein2_BINARY_N340.wcnf.gz,['sls-mcs2']
correlation-clustering/Rounded_CorrelationClustering_Protein2_BINARY_N380.wcnf.gz,['sls-mcs']
correlation-clustering/Rounded_CorrelationClustering_Protein2_BINARY_N400.wcnf.gz,['sls-mcs']
correlation-clustering/Rounded_CorrelationClustering_Protein2_UNARY_N160.wcnf.gz,['sls-mcs2']
correlation-clustering/Rounded_CorrelationClustering_Protein2_UNARY_N180.wcnf.gz,['Loandra']
correlation-clustering/Rounded_CorrelationClustering_Protein2_UNARY_N220.wcnf.gz,['Loandra']
correlation-clustering/Rounded_CorrelationClustering_Protein2_UNARY_N240.wcnf.gz,['Loandra']
correlation-clustering/Rounded_CorrelationClustering_Protein3_UNARY_N220.wcnf.gz,['Loandra']
correlation-clustering/Rounded_CorrelationClustering_Protein3_UNARY_N240.wcnf.gz,['Loandra']
correlation-clustering/Rounded_CorrelationClustering_Protein3_UNARY_N280.wcnf.gz,['Loandra']
correlation-clustering/Rounded_CorrelationClustering_Protein4_BINARY_N400.wcnf.gz,['Loandra']
correlation-clustering/Rounded_CorrelationClustering_Protein4_UNARY_N210.wcnf.gz,['Loandra']
correlation-clustering/Rounded_CorrelationClustering_Protein4_UNARY_N230.wcnf.gz,['Loandra']
correlation-clustering/Rounded_CorrelationClustering_Vowel_BINARY_N740_D0.200.wcnf.gz,"['Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)']"
correlation-clustering/Rounded_CorrelationClustering_Vowel_BINARY_N760_D0.200.wcnf.gz,['TT-Open-WBO-Inc']
MaxSATQueriesinInterpretableClassifiers/MLIC_maxsat_benchmarks/adult_test_0_CNF_5_5.wcnf.gz,['LinSBPS2018']
MaxSATQueriesinInterpretableClassifiers/wcnf_gz/adult_test_8_CNF_5_15.wcnf.gz,['TT-Open-WBO-Inc']
af-synthesis/af-synthesis_stb_50_120_5.wcnf.gz,"['TT-Open-WBO-Inc', 'Loandra', 'LinSBPS2018', 'Open-WBO-ms']"
af-synthesis/af-synthesis_stb_50_120_7.wcnf.gz,"['TT-Open-WBO-Inc', 'Loandra', 'Open-WBO-Inc(inc-bmo-complete)', 'LinSBPS2018', 'Open-WBO-g', 'Open-WBO-ms', 'uwrmaxsat-inc']"
af-synthesis/af-synthesis_stb_50_140_0.wcnf.gz,['LinSBPS2018']
af-synthesis/af-synthesis_stb_50_140_1.wcnf.gz,"['TT-Open-WBO-Inc', 'Loandra', 'LinSBPS2018', 'Open-WBO-g', 'Open-WBO-ms']"
af-synthesis/af-synthesis_stb_50_140_7.wcnf.gz,"['Loandra', 'Open-WBO-Inc(inc-bmo-complete)', 'LinSBPS2018']"
af-synthesis/af-synthesis_stb_50_160_4.wcnf.gz,"['TT-Open-WBO-Inc', 'Loandra', 'Open-WBO-Inc(inc-bmo-complete)', 'LinSBPS2018']"
af-synthesis/af-synthesis_stb_50_160_6.wcnf.gz,"['TT-Open-WBO-Inc', 'Loandra', 'LinSBPS2018']"
af-synthesis/af-synthesis_stb_50_180_2.wcnf.gz,['LinSBPS2018']
af-synthesis/af-synthesis_stb_50_200_1.wcnf.gz,"['TT-Open-WBO-Inc', 'LinSBPS2018', 'Open-WBO-ms']"
af-synthesis/af-synthesis_stb_50_200_6.wcnf.gz,"['Open-WBO-Inc(inc-bmo-complete)', 'LinSBPS2018', 'sls-mcs2']"
af-synthesis/af-synthesis_stb_50_40_0.wcnf.gz,"['TT-Open-WBO-Inc', 'Loandra', 'Open-WBO-Inc(inc-bmo-complete)', 'LinSBPS2018', 'Open-WBO-g']"
af-synthesis/af-synthesis_stb_50_40_9.wcnf.gz,['LinSBPS2018']
af-synthesis/af-synthesis_stb_50_60_2.wcnf.gz,"['TT-Open-WBO-Inc', 'Loandra', 'Open-WBO-Inc(inc-bmo-complete)', 'LinSBPS2018', 'Open-WBO-g', 'Open-WBO-ms']"
af-synthesis/af-synthesis_stb_50_80_2.wcnf.gz,"['TT-Open-WBO-Inc', 'LinSBPS2018', 'uwrmaxsat-inc']"
af-synthesis/af-synthesis_stb_50_80_3.wcnf.gz,"['TT-Open-WBO-Inc', 'Loandra', 'LinSBPS2018', 'Open-WBO-ms']"
af-synthesis/af-synthesis_stb_50_80_7.wcnf.gz,"['TT-Open-WBO-Inc', 'LinSBPS2018']"
railway-transport/bf2030fvslack.wcnf.gz,['TT-Open-WBO-Inc']
MinimumWeightDominatingSetProblem/bn-human-BNU_1_0025865_session_1-bg.wcnf.gz,"['Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)']"
maxcut/dimacs_mod/brock400_1.clq.wcnf.gz,"['Open-WBO-Inc(inc-bmo-satlike)', 'SATLike', 'sls-mcs2']"
maxcut/dimacs_mod/brock400_4.clq.wcnf.gz,"['Open-WBO-Inc(inc-bmo-satlike)', 'SATLike', 'sls-mcs2', 'sls-mcs']"
maxcut/dimacs_mod/brock800_2.clq.wcnf.gz,"['Open-WBO-Inc(inc-bmo-satlike)', 'SATLike', 'sls-mcs2', 'sls-mcs']"
causal-discovery/causal_Alarm_7_1000.wcnf.gz,"['Loandra', 'LinSBPS2018', 'SATLike', 'Open-WBO-ms', 'uwrmaxsat-inc']"
causal-discovery/causal_Autos_8_159.wcnf.gz,['uwrmaxsat-inc']
causal-discovery/causal_Heart_10_212.wcnf.gz,"['Loandra', 'LinSBPS2018']"
causal-discovery/causal_Letter_7_20000.wcnf.gz,['Loandra']
causal-discovery/causal_Link_10_1000.wcnf.gz,['TT-Open-WBO-Inc']
causal-discovery/causal_LungCancer_8_27.wcnf.gz,"['Loandra', 'uwrmaxsat-inc']"
causal-discovery/causal_Pigs_6_10000.wcnf.gz,"['LinSBPS2018', 'SATLike', 'uwrmaxsat-inc']"
causal-discovery/causal_Water_10_1000.wcnf.gz,"['Loandra', 'LinSBPS2018', 'Open-WBO-g', 'SATLike', 'Open-WBO-ms']"
causal-discovery/causal_Wdbc_8_569.wcnf.gz,"['TT-Open-WBO-Inc', 'Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)', 'Open-WBO-g']"
causal-discovery/causal_alarm_9_1000.wcnf.gz,"['LinSBPS2018', 'SATLike']"
causal-discovery/causal_alarm_9_10000.wcnf.gz,['uwrmaxsat-inc']
causal-discovery/causal_asia_7_1000.wcnf.gz,"['Loandra', 'Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)', 'Open-WBO-g', 'Open-WBO-ms', 'uwrmaxsat-inc']"
causal-discovery/causal_carpo_9_10000.wcnf.gz,['uwrmaxsat-inc']
causal-discovery/causal_hailfinder_8_10000.wcnf.gz,"['TT-Open-WBO-Inc', 'Loandra', 'Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)', 'LinSBPS2018', 'Open-WBO-g', 'Open-WBO-ms', 'uwrmaxsat-inc']"
causal-discovery/causal_insurance_8_10000.wcnf.gz,"['TT-Open-WBO-Inc', 'Loandra', 'LinSBPS2018']"
causal-discovery/causal_insurance_9_100.wcnf.gz,['uwrmaxsat-inc']
MinimumWeightDominatingSetProblem/channel-500x100x100-b050.wcnf.gz,"['Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)']"
timetabling/comp01.wcnf.gz,"['TT-Open-WBO-Inc', 'Loandra', 'Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)', 'LinSBPS2018', 'Open-WBO-g', 'SATLike', 'sls-mcs2', 'Open-WBO-ms', 'sls-mcs', 'uwrmaxsat-inc']"
timetabling/comp02.wcnf.gz,['Loandra']
timetabling/comp05.wcnf.gz,['LinSBPS2018']
timetabling/comp06.lp.sm-extracted.wcnf.gz,['uwrmaxsat-inc']
timetabling/comp07.lp.sm-extracted.wcnf.gz,['uwrmaxsat-inc']
timetabling/comp07.wcnf.gz,['LinSBPS2018']
timetabling/comp09.wcnf.gz,['LinSBPS2018']
timetabling/comp12.wcnf.gz,['uwrmaxsat-inc']
timetabling/comp13.lp.sm-extracted.wcnf.gz,['uwrmaxsat-inc']
timetabling/comp18.wcnf.gz,['LinSBPS2018']
MaxSATQueriesinInterpretableClassifiers/MLIC_maxsat_benchmarks/compas_train_0_CNF_3_5.wcnf.gz,['SATLike']
MaxSATQueriesinInterpretableClassifiers/MLIC_maxsat_benchmarks/credit_test_1_CNF_5_20.wcnf.gz,['TT-Open-WBO-Inc']
timetabling/dds4.wcnf.gz,"['TT-Open-WBO-Inc', 'Loandra', 'Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)', 'LinSBPS2018', 'Open-WBO-g', 'SATLike', 'sls-mcs2', 'Open-WBO-ms', 'sls-mcs', 'uwrmaxsat-inc']"
MinimumWeightDominatingSetProblem/delaunay_n24.wcnf.gz,"['Loandra', 'Open-WBO-g', 'Open-WBO-ms']"
abstraction-refinement/downcast-antlr.wcnf.gz,['TT-Open-WBO-Inc']
abstraction-refinement/downcast-avrora.wcnf.gz,['TT-Open-WBO-Inc']
abstraction-refinement/downcast-hsqldb.wcnf.gz,['Open-WBO-ms']
abstraction-refinement/downcast-pmd.wcnf.gz,['TT-Open-WBO-Inc']
abstraction-refinement/downcast-xalan.wcnf.gz,['TT-Open-WBO-Inc']
railway-transport/f2030.wcnf.gz,"['TT-Open-WBO-Inc', 'Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)']"
drmx-cryptogen/geffe128_7.wcnf.gz,['sls-mcs']
maxcut/dimacs_mod/hamming10-2.clq.wcnf.gz,"['Open-WBO-Inc(inc-bmo-satlike)', 'SATLike', 'sls-mcs2', 'sls-mcs']"
maxcut/dimacs_mod/hamming8-2.clq.wcnf.gz,"['SATLike', 'sls-mcs2', 'sls-mcs']"
MinimumWeightDominatingSetProblem/hugebubbles-00020.wcnf.gz,"['Open-WBO-g', 'Open-WBO-ms']"
MinimumWeightDominatingSetProblem/inf-road-usa.wcnf.gz,['LinSBPS2018']
staff-scheduling/instance10.wcnf.gz,['TT-Open-WBO-Inc']
staff-scheduling/instance11.wcnf.gz,['SATLike']
staff-scheduling/instance12.wcnf.gz,['SATLike']
staff-scheduling/instance2.wcnf.gz,"['Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)']"
staff-scheduling/instance3.wcnf.gz,['LinSBPS2018']
staff-scheduling/instance4.wcnf.gz,['LinSBPS2018']
staff-scheduling/instance5.wcnf.gz,['Loandra']
staff-scheduling/instance6.wcnf.gz,['Loandra']
staff-scheduling/instance7.wcnf.gz,['sls-mcs']
staff-scheduling/instance8.wcnf.gz,['TT-Open-WBO-Inc']
staff-scheduling/instance9.wcnf.gz,['TT-Open-WBO-Inc']
maxcut/dimacs_mod/johnson8-4-4.clq.wcnf.gz,"['SATLike', 'sls-mcs2', 'sls-mcs']"
shiftdesign/limits-10-10_data-1_inst-044_30m.sm-extracted.wcnf.gz,['LinSBPS2018']
shiftdesign/limits-10-10_data-1_inst-084_30m.sm-extracted.wcnf.gz,['LinSBPS2018']
shiftdesign/limits-10-10_data-1_inst-102_30m.sm-extracted.wcnf.gz,['Open-WBO-Inc(inc-bmo-complete)']
shiftdesign/limits-10-10_data-1_inst-122_30m.sm-extracted.wcnf.gz,"['TT-Open-WBO-Inc', 'Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)', 'LinSBPS2018']"
shiftdesign/limits-10-10_data-1_inst-182_30m.sm-extracted.wcnf.gz,['LinSBPS2018']
shiftdesign/limits-10-10_data-2_inst-003_30m.sm-extracted.wcnf.gz,['TT-Open-WBO-Inc']
shiftdesign/limits-10-10_data-2_inst-025_30m.sm-extracted.wcnf.gz,['TT-Open-WBO-Inc']
shiftdesign/limits-10-10_data-2_inst-030_30m.sm-extracted.wcnf.gz,['TT-Open-WBO-Inc']
shiftdesign/limits-10-10_data-3_inst-002_30m.sm-extracted.wcnf.gz,['TT-Open-WBO-Inc']
shiftdesign/limits-10-10_data-3_inst-003_30m.sm-extracted.wcnf.gz,['LinSBPS2018']
shiftdesign/limits-10-10_data-4_inst-003_60m.sm-extracted.wcnf.gz,['TT-Open-WBO-Inc']
lisbon-wedding/lisbon-wedding-1-17.wcnf.gz,"['TT-Open-WBO-Inc', 'Loandra', 'Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)', 'LinSBPS2018', 'Open-WBO-g', 'SATLike', 'sls-mcs2', 'Open-WBO-ms', 'sls-mcs', 'uwrmaxsat-inc']"
lisbon-wedding/lisbon-wedding-1-19.wcnf.gz,"['TT-Open-WBO-Inc', 'Loandra', 'Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)', 'LinSBPS2018', 'Open-WBO-g', 'SATLike', 'sls-mcs2', 'Open-WBO-ms', 'sls-mcs', 'uwrmaxsat-inc']"
lisbon-wedding/lisbon-wedding-10-18.wcnf.gz,"['TT-Open-WBO-Inc', 'Loandra', 'Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)', 'LinSBPS2018', 'sls-mcs2']"
lisbon-wedding/lisbon-wedding-10-19.wcnf.gz,"['TT-Open-WBO-Inc', 'Loandra', 'Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)', 'LinSBPS2018', 'sls-mcs2']"
lisbon-wedding/lisbon-wedding-2-19.wcnf.gz,"['TT-Open-WBO-Inc', 'Loandra', 'Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)', 'LinSBPS2018', 'Open-WBO-g', 'SATLike', 'sls-mcs2', 'Open-WBO-ms', 'sls-mcs', 'uwrmaxsat-inc']"
lisbon-wedding/lisbon-wedding-3-18.wcnf.gz,"['TT-Open-WBO-Inc', 'Loandra', 'Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)', 'LinSBPS2018', 'Open-WBO-g', 'SATLike', 'sls-mcs2', 'Open-WBO-ms', 'sls-mcs', 'uwrmaxsat-inc']"
lisbon-wedding/lisbon-wedding-4-19.wcnf.gz,"['TT-Open-WBO-Inc', 'LinSBPS2018', 'sls-mcs2']"
lisbon-wedding/lisbon-wedding-5-19.wcnf.gz,"['LinSBPS2018', 'SATLike', 'sls-mcs2']"
lisbon-wedding/lisbon-wedding-6-19.wcnf.gz,"['TT-Open-WBO-Inc', 'LinSBPS2018', 'sls-mcs2']"
lisbon-wedding/lisbon-wedding-7-17.wcnf.gz,"['Loandra', 'LinSBPS2018', 'sls-mcs2']"
lisbon-wedding/lisbon-wedding-8-18.wcnf.gz,"['TT-Open-WBO-Inc', 'Loandra', 'Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)', 'LinSBPS2018', 'sls-mcs2']"
lisbon-wedding/lisbon-wedding-8-19.wcnf.gz,"['TT-Open-WBO-Inc', 'Loandra', 'Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)', 'LinSBPS2018', 'sls-mcs2']"
lisbon-wedding/lisbon-wedding-9-17.wcnf.gz,['LinSBPS2018']
lisbon-wedding/lisbon-wedding-9-19.wcnf.gz,"['TT-Open-WBO-Inc', 'Loandra', 'LinSBPS2018', 'sls-mcs2']"
metro/metro_8_8_5_20_10_6_500_1_3.lp.sm-extracted.wcnf.gz,"['TT-Open-WBO-Inc', 'Loandra', 'Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)', 'LinSBPS2018', 'Open-WBO-g']"
metro/metro_8_8_5_20_10_6_500_1_5.lp.sm-extracted.wcnf.gz,"['TT-Open-WBO-Inc', 'Loandra', 'LinSBPS2018', 'Open-WBO-g', 'uwrmaxsat-inc']"
pseudoBoolean/miplib/normalized-mps-v2-20-10-cracpb1.opb.msat.wcnf.gz,"['TT-Open-WBO-Inc', 'Loandra']"
pseudoBoolean/miplib/normalized-mps-v2-20-10-l152lav.opb.msat.wcnf.gz,"['TT-Open-WBO-Inc', 'Loandra', 'Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)', 'LinSBPS2018', 'Open-WBO-g', 'SATLike', 'sls-mcs2', 'Open-WBO-ms', 'sls-mcs', 'uwrmaxsat-inc']"
pseudoBoolean/miplib/normalized-mps-v2-20-10-lp4l.opb.msat.wcnf.gz,['LinSBPS2018']
pseudoBoolean/miplib/normalized-mps-v2-20-10-mod008.opb.msat.wcnf.gz,['TT-Open-WBO-Inc']
pseudoBoolean/miplib/normalized-mps-v2-20-10-mod010.opb.msat.wcnf.gz,"['TT-Open-WBO-Inc', 'Loandra', 'Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)', 'LinSBPS2018', 'Open-WBO-g', 'SATLike', 'sls-mcs2', 'Open-WBO-ms', 'sls-mcs', 'uwrmaxsat-inc']"
pseudoBoolean/miplib/normalized-mps-v2-20-10-p0548.opb.msat.wcnf.gz,['TT-Open-WBO-Inc']
pseudoBoolean/miplib/normalized-mps-v2-20-10-sentoy.opb.msat.wcnf.gz,['uwrmaxsat-inc']
maxcut/dimacs_mod/p_hat1000-3.clq.wcnf.gz,"['SATLike', 'sls-mcs2', 'sls-mcs']"
maxcut/dimacs_mod/p_hat500-3.clq.wcnf.gz,"['Open-WBO-Inc(inc-bmo-satlike)', 'SATLike', 'sls-mcs2', 'sls-mcs']"
relational-inference/pa-2.wcnf.gz,"['Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)']"
relational-inference/pa-3.wcnf.gz,"['Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)']"
MaxSATQueriesinInterpretableClassifiers/MLIC_maxsat_benchmarks/pima_train_1_DNF_5_15.wcnf.gz,['Loandra']
abstraction-refinement/polysite-avrora.wcnf.gz,['TT-Open-WBO-Inc']
abstraction-refinement/polysite-bloat.wcnf.gz,"['Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)']"
abstraction-refinement/polysite-hsqldb.wcnf.gz,['TT-Open-WBO-Inc']
abstraction-refinement/polysite-pmd.wcnf.gz,['TT-Open-WBO-Inc']
abstraction-refinement/polysite-xalan.wcnf.gz,['TT-Open-WBO-Inc']
max-realizability/power-distribution_10_7.wcnf.gz,"['LinSBPS2018', 'SATLike', 'sls-mcs2', 'sls-mcs']"
max-realizability/power-distribution_10_8.wcnf.gz,"['LinSBPS2018', 'SATLike', 'sls-mcs']"
max-realizability/power-distribution_11_7.wcnf.gz,"['LinSBPS2018', 'SATLike', 'sls-mcs']"
max-realizability/power-distribution_11_8.wcnf.gz,"['LinSBPS2018', 'SATLike', 'sls-mcs2', 'sls-mcs']"
max-realizability/power-distribution_12_7.wcnf.gz,"['LinSBPS2018', 'SATLike']"
max-realizability/power-distribution_12_8.wcnf.gz,"['LinSBPS2018', 'SATLike']"
max-realizability/power-distribution_2_8.wcnf.gz,"['TT-Open-WBO-Inc', 'Loandra', 'LinSBPS2018', 'SATLike', 'sls-mcs2', 'Open-WBO-ms', 'sls-mcs']"
max-realizability/power-distribution_7_8.wcnf.gz,"['Loandra', 'LinSBPS2018', 'Open-WBO-g', 'SATLike', 'sls-mcs2', 'Open-WBO-ms', 'sls-mcs']"
max-realizability/power-distribution_8_8.wcnf.gz,"['Loandra', 'LinSBPS2018', 'SATLike', 'sls-mcs2', 'Open-WBO-ms', 'sls-mcs', 'uwrmaxsat-inc']"
max-realizability/power-distribution_9_8.wcnf.gz,"['Loandra', 'LinSBPS2018', 'SATLike', 'sls-mcs2', 'sls-mcs']"
railway-transport/r11.wcnf.gz,['TT-Open-WBO-Inc']
ramsey/ram_k3_n12.ra1.wcnf.gz,"['TT-Open-WBO-Inc', 'Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)', 'Open-WBO-g', 'SATLike', 'sls-mcs2', 'Open-WBO-ms', 'sls-mcs', 'uwrmaxsat-inc']"
ramsey/ram_k3_n13.ra1.wcnf.gz,"['Open-WBO-Inc(inc-bmo-satlike)', 'SATLike', 'sls-mcs2', 'sls-mcs']"
ramsey/ram_k3_n14.ra1.wcnf.gz,['SATLike']
ramsey/ram_k3_n15.ra1.wcnf.gz,['SATLike']
ramsey/ram_k3_n16.ra1.wcnf.gz,"['SATLike', 'sls-mcs']"
ramsey/ram_k3_n17.ra1.wcnf.gz,['SATLike']
ramsey/ram_k3_n18.ra1.wcnf.gz,['SATLike']
ramsey/ram_k3_n19.ra1.wcnf.gz,['SATLike']
